date,product_id,quantity,sales
,P046,6.0,3227.9
2022-01-01,P097,1.0,809.82
2022-06-22,P042,10.0,1886.85
2022-05-28,P099,5.0,2042.73
2022-08-24,P044,1.0,2586.76
2022-07-17,P002,5.0,3313.68
,P057,1.0,610.17
2022-02-01,P035,6.0,4562.01
2022-12-04,P018,3.0,4082.85
2022-10-28,P082,7.0,442.14
2022-07-20,P030,8.0,619.02
,P068,5.0,2080.33
,P099,5.0,4766.37
2022-02-05,P096,5.0,3205.8
2022-07-11,P074,5.0,2734.15
2022-05-22,P003,1.0,5572.64
2022-01-22,P087,,2450.7
2022-02-08,P078,2.0,
2022-06-03,P014,8.0,905.46
2022-10-18,P026,4.0,1145.95
2022-12-11,P071,,279.48
2022-05-10,P099,9.0,4766.37
2022-11-12,P067,1.0,2744.34
2022-08-23,P036,8.0,4848.9
2022-04-23,P089,8.0,2120.76
2022-08-16,P059,2.0,1019.58
2022-08-22,P047,1.0,931.23
2022-08-25,P091,7.0,
2022-12-19,P058,3.0,528.89
2022-06-13,P045,9.0,451.14
2022-01-16,P096,9.0,320.58
,P007,5.0,1394.76
2022-10-18,P083,10.0,1677.3
2022-05-25,P055,8.0,701.02
,P057,,4881.36
2022-05-09,P044,10.0,3880.14
2022-07-04,,8.0,829.56
2022-07-31,P019,7.0,
2022-04-18,P098,9.0,7580.4
2022-02-10,P075,2.0,4698.9
2022-09-02,P010,7.0,2464.17
2022-07-30,P054,,866.96
2022-03-05,P019,4.0,9030.1
2022-11-01,P099,4.0,1361.82
2022-03-24,P007,5.0,2092.14
2022-07-11,,5.0,4536.5
2022-07-12,P047,4.0,6518.61
2022-07-03,P031,6.0,3932.2
2022-01-26,,10.0,1829.56
2022-04-05,P007,9.0,2789.52
2022-11-09,P092,10.0,6462.2
2022-11-23,P096,8.0,961.74
2022-04-26,P078,8.0,3621.5
2022-04-13,P078,,1448.6
2022-05-22,P007,9.0,1394.76
2022-11-04,,,3807.36
2022-07-20,P060,2.0,3185.37
2022-09-23,P042,,
,P033,7.0,4361.9
2022-04-28,P055,5.0,5608.16
2022-05-13,P053,9.0,1857.18
2022-01-25,P057,8.0,4271.19
2022-12-17,P027,1.0,438.16
2022-10-02,P036,9.0,4848.9
2022-05-17,P071,3.0,93.16
2022-01-17,P039,9.0,2058.2
2022-01-11,,4.0,2114.07
2022-02-26,,,652.12
2022-12-20,P031,8.0,
2022-11-07,,2.0,1448.6
2022-08-31,P029,3.0,4667.28
2022-07-14,P089,9.0,1590.57
2022-03-27,,9.0,3889.4
2022-05-26,P020,5.0,4743.2
2022-05-22,P020,,1778.7
2022-09-26,P024,5.0,3733.02
2022-03-24,P096,8.0,1923.48
2022-01-24,P058,,1057.78
2022-08-13,P036,10.0,4040.75
2022-08-10,P000,8.0,421.08
2022-06-18,P053,1.0,1857.18
2022-07-23,,6.0,
2022-10-29,,6.0,2435.5
2022-12-11,P081,3.0,2818.76
2022-02-15,P012,7.0,1754.25
2022-10-23,P005,10.0,
2022-03-22,P015,,5379.3
2022-12-06,P066,3.0,118.02
2022-05-31,P032,9.0,5200.24
2022-01-02,P095,2.0,905.02
2022-08-13,P079,2.0,8418.6
2022-05-30,P041,7.0,4114.98
,P053,8.0,
2022-04-18,P093,,4258.59
2022-08-18,P058,1.0,2115.56
2022-07-10,P008,7.0,1427.76
2022-09-10,P061,7.0,635.41
2022-11-23,P073,2.0,289.62
2022-03-06,P063,4.0,5905.48
2022-09-06,P043,4.0,952.68
2022-03-25,,5.0,4955.9
2022-04-22,P050,9.0,
2022-07-02,P092,2.0,5815.98
2022-05-22,P029,,3889.4
2022-05-28,P042,,
2022-09-23,P097,4.0,809.82
2022-09-16,P095,3.0,452.51
2022-04-07,P093,2.0,1216.74
2022-09-20,P027,4.0,164.31
2022-07-24,P000,8.0,1403.6
2022-05-12,P002,4.0,
,P042,8.0,2425.95
2022-11-10,P030,8.0,515.85
,P035,2.0,1520.67
2022-08-08,P019,9.0,
2022-09-12,P037,10.0,2438.9
2022-12-21,P024,4.0,2903.46
2022-08-05,P072,9.0,1806.8
2022-01-14,P011,7.0,6552.7
2022-10-13,P023,5.0,5353.7
2022-07-18,P083,1.0,1397.75
2022-07-19,P060,5.0,
2022-05-14,P048,1.0,4138.68
2022-01-08,P099,10.0,1361.82
2022-01-03,P011,8.0,5897.43
2022-09-30,,,3330.92
2022-08-22,P000,1.0,421.08
2022-06-29,P091,9.0,7923.96
2022-05-19,P012,2.0,584.75
2022-02-01,P075,10.0,7048.35
2022-03-18,P029,3.0,3111.52
2022-09-08,P013,8.0,479.08
2022-09-03,P001,6.0,1922.4
2022-05-13,,5.0,4877.8
2022-02-11,P073,,225.26
2022-12-28,P016,1.0,1412.76
2022-06-27,P055,9.0,2103.06
2022-07-05,P020,,1778.7
2022-05-19,P039,3.0,
2022-02-02,P022,,1390.74
2022-07-31,,10.0,5608.16
2022-01-19,P098,4.0,1516.08
2022-04-03,P032,3.0,5200.24
2022-03-02,P034,1.0,3678.84
2022-09-18,P072,1.0,
2022-04-18,P008,6.0,1427.76
2022-08-01,P057,8.0,3050.85
2022-07-14,P050,3.0,2947.4
2022-09-17,P019,6.0,1806.02
2022-05-15,P062,6.0,4429.2
2022-08-18,P075,10.0,6265.2
2022-05-07,P044,5.0,6466.9
2022-04-01,P037,9.0,1463.34
2022-02-26,P016,10.0,706.38
2022-08-24,P088,9.0,2491.72
2022-05-09,P038,7.0,2217.42
2022-02-06,P003,6.0,1393.16
2022-01-25,P016,4.0,1412.76
2022-12-13,P020,3.0,2964.5
2022-01-13,P090,7.0,4323.0
2022-10-08,P064,8.0,6797.1
2022-07-10,P087,3.0,
2022-01-12,P076,7.0,974.2
2022-06-11,P056,10.0,1466.01
2022-04-27,,3.0,
2022-11-27,P050,4.0,884.22
2022-10-23,,3.0,
2022-11-10,P010,9.0,4928.34
2022-08-29,P098,,2274.12
2022-06-30,P020,3.0,5336.1
2022-05-08,P084,7.0,
2022-07-09,P044,1.0,5173.52
,P053,,1857.18
2022-06-24,,5.0,739.14
2022-05-13,P063,7.0,5905.48
,P049,,3575.36
2022-08-30,P005,3.0,8613.18
2022-03-28,P044,10.0,3880.14
2022-08-23,P087,2.0,2205.63
2022-12-03,P055,7.0,1402.04
2022-09-02,P033,,3489.52
2022-06-14,P099,9.0,6809.1
2022-05-28,P065,8.0,3129.39
2022-12-06,P091,,4402.2
2022-01-15,P022,,1390.74
2022-07-07,,6.0,1825.11
2022-10-22,P043,,1905.36
2022-07-31,P035,2.0,4562.01
2022-09-05,P016,10.0,
2022-03-25,,3.0,219.08
2022-03-27,P033,7.0,4361.9
2022-04-22,P024,7.0,4147.8
2022-05-23,P076,10.0,2922.6
2022-04-08,P040,10.0,8764.2
2022-05-01,P067,6.0,1829.56
2022-10-22,,10.0,1617.3
2022-01-19,,6.0,4055.12
2022-04-17,P061,5.0,5718.69
2022-05-11,P074,5.0,2734.15
2022-07-28,P057,7.0,4881.36
2022-07-12,P057,4.0,3661.02
2022-12-29,P034,5.0,4291.98
2022-09-21,P063,2.0,5905.48
,P040,7.0,5842.8
2022-03-31,P044,2.0,3880.14
2022-05-26,P063,3.0,4218.2
2022-12-13,P087,,245.07
2022-10-02,P074,9.0,546.83
2022-01-31,,9.0,6973.8
,P097,7.0,4049.1
2022-10-10,P013,,684.4
2022-10-22,P063,8.0,7592.76
2022-12-16,P096,6.0,2885.22
2022-05-11,P002,9.0,6627.36
2022-06-29,P020,8.0,2371.6
2022-11-30,P049,5.0,2681.52
2022-11-22,P017,2.0,1479.3
2022-06-12,P053,2.0,1857.18
2022-06-07,P087,4.0,735.21
2022-06-05,P099,5.0,6128.19
2022-02-28,P042,2.0,269.55
2022-08-09,P003,1.0,6269.22
,P028,3.0,4190.76
2022-11-23,P017,4.0,2218.95
2022-07-02,P001,4.0,1441.8
,P097,4.0,4049.1
2022-11-03,,2.0,3331.44
,P015,7.0,4841.37
2022-10-30,P033,5.0,3489.52
2022-11-04,P091,10.0,880.44
2022-10-21,P011,,3931.62
2022-01-23,P032,,5200.24
2022-10-20,P066,8.0,
,P051,9.0,4955.9
2022-02-02,P095,8.0,4525.1
,P044,7.0,5173.52
2022-11-17,P079,5.0,6547.8
2022-05-08,P085,9.0,
2022-03-08,P072,1.0,361.36
2022-12-18,P062,5.0,3875.55
2022-03-01,P017,10.0,986.2
2022-05-08,P012,2.0,1169.5
,P040,3.0,8764.2
2022-06-29,P078,7.0,724.3
2022-08-07,,9.0,4206.12
2022-02-09,P012,8.0,1169.5
2022-08-23,,,4759.2
,P000,6.0,
2022-06-29,P064,9.0,6797.1
2022-03-25,P034,8.0,6131.4
2022-05-21,P040,1.0,9738.0
2022-02-03,P028,2.0,
2022-10-23,,4.0,736.9
2022-05-03,P044,,6466.9
2022-08-10,P099,7.0,6809.1
2022-03-14,,1.0,5536.5
2022-11-06,P096,8.0,
2022-06-30,P003,8.0,6965.8
2022-08-12,P079,7.0,5612.4
2022-04-12,P031,10.0,2359.32
2022-02-07,,3.0,6973.8
2022-03-26,P076,8.0,1948.4
2022-08-12,P072,3.0,180.68
,P052,10.0,3348.2
2022-07-05,P069,4.0,7418.8
,,7.0,
,P096,3.0,641.16
2022-02-01,P048,1.0,5518.24
2022-11-22,P057,9.0,2440.68
,P015,5.0,1075.86
2022-03-15,P004,5.0,3307.23
2022-12-15,P049,1.0,3575.36
2022-02-14,P029,2.0,3889.4
2022-01-22,P048,10.0,4828.46
2022-11-18,P013,4.0,
2022-11-13,P031,5.0,1966.1
2022-06-11,P088,8.0,5606.37
2022-01-16,P072,5.0,
2022-06-11,,10.0,9526.8
2022-01-24,P079,3.0,4677.0
2022-06-02,P099,10.0,4766.37
2022-04-13,,5.0,436.19
2022-05-14,P070,2.0,1665.46
2022-05-23,,,236.04
2022-02-09,P004,,367.47
,P042,4.0,2695.5
2022-07-14,P011,10.0,6552.7
2022-01-31,P098,6.0,
2022-02-20,P041,9.0,2286.1
2022-12-15,P026,7.0,1604.33
2022-04-26,P094,,3890.32
,P024,10.0,
2022-03-03,P061,10.0,1906.23
2022-11-07,P047,9.0,5587.38
,P004,4.0,3307.23
2022-03-30,P036,1.0,1616.3
2022-05-29,P026,8.0,
2022-08-11,P091,,1760.88
2022-07-06,,2.0,594.38
2022-01-04,P065,9.0,2433.97
2022-11-04,P030,8.0,309.51
2022-10-23,P010,2.0,8213.9
2022-08-27,P024,4.0,3733.02
2022-11-23,P057,3.0,6101.7
2022-11-25,P036,9.0,5657.05
2022-07-28,P024,1.0,4147.8
2022-11-26,P032,6.0,3250.15
,P074,3.0,546.83
2022-11-12,P082,8.0,1031.66
2022-09-23,P003,9.0,6269.22
2022-07-31,P061,2.0,3177.05
2022-08-13,P026,5.0,229.19
2022-07-28,,5.0,2156.4
2022-06-28,,6.0,1547.65
2022-08-12,,9.0,8127.09
2022-05-23,P095,6.0,452.51
2022-05-16,P026,9.0,2291.9
2022-12-08,P015,5.0,537.93
2022-11-07,P004,9.0,734.94
2022-12-18,P038,8.0,3326.13
2022-01-19,,9.0,3492.3
2022-08-18,P050,8.0,
2022-08-08,P044,10.0,2586.76
2022-12-07,P079,,6547.8
2022-04-16,P035,8.0,5068.9
2022-06-29,P034,6.0,1226.28
2022-09-14,P063,,5905.48
2022-12-04,P002,8.0,1656.84
2022-02-28,P099,10.0,4085.46
2022-05-24,P007,,
2022-02-19,P045,7.0,
2022-02-21,P093,9.0,608.37
2022-09-19,P039,9.0,2058.2
2022-01-31,P000,9.0,1263.24
2022-07-03,P062,,2768.25
2022-08-29,P073,9.0,321.8
2022-12-18,,10.0,4082.85
2022-06-04,P008,3.0,475.92
2022-02-27,P088,,1245.86
2022-09-02,,3.0,3909.36
2022-01-23,P080,1.0,5456.97
2022-10-24,P052,4.0,2678.56
2022-12-11,P091,5.0,4402.2
2022-05-11,,10.0,1765.95
2022-03-24,P056,,1954.68
2022-01-15,P069,2.0,
2022-12-25,P057,10.0,3050.85
2022-02-01,P085,5.0,6296.85
2022-04-09,P056,9.0,3420.69
2022-02-06,P067,7.0,7318.24
2022-12-17,P035,5.0,1520.67
2022-02-11,P065,8.0,
2022-07-05,P011,1.0,2621.08
2022-08-08,,1.0,2123.58
2022-04-04,P083,10.0,
2022-03-13,P009,,2967.95
2022-01-17,P020,9.0,2964.5
2022-11-30,P027,1.0,54.77
,P075,5.0,783.15
2022-09-11,P065,9.0,1043.13
,P022,7.0,6258.33
2022-05-25,P094,10.0,3404.03
2022-12-22,P018,,4536.5
2022-04-02,P004,,3674.7
2022-11-27,P079,,
2022-05-30,P019,3.0,3612.04
2022-07-01,P041,,4572.2
2022-03-27,P045,,1804.56
2022-06-01,P054,3.0,5201.76
2022-11-28,P017,,1972.4
2022-03-17,,4.0,2008.92
2022-09-06,P024,10.0,414.78
2022-03-29,P086,1.0,41.52
2022-07-06,P053,3.0,2785.77
2022-04-05,P025,7.0,1995.39
2022-09-03,P006,3.0,4525.62
2022-09-18,P090,,864.6
2022-05-13,P032,2.0,5200.24
,P001,5.0,240.3
2022-10-31,P080,7.0,5456.97
,P021,,
2022-10-01,P066,8.0,
,P020,6.0,1778.7
2022-11-19,P088,9.0,5606.37
2022-04-18,P068,5.0,2674.71
2022-12-03,P039,9.0,1646.56
,P069,7.0,3709.4
2022-07-25,P030,8.0,
2022-01-05,P089,5.0,3711.33
2022-05-11,P038,1.0,739.14
2022-08-31,P004,,3307.23
2022-11-23,P010,10.0,1642.78
2022-11-24,P066,5.0,157.36
2022-08-04,P091,,7923.96
2022-08-26,P096,10.0,2885.22
2022-12-16,P002,9.0,8284.2
2022-11-18,P070,10.0,8327.3
2022-09-07,,5.0,619.06
2022-12-29,P009,2.0,2374.36
2022-08-04,P015,10.0,
2022-12-06,,10.0,3185.37
2022-03-24,,4.0,68.44
2022-08-28,P050,8.0,2357.92
2022-06-30,P038,4.0,1847.85
2022-05-09,P047,2.0,3724.92
2022-09-25,P004,2.0,2572.29
,P018,7.0,907.3
2022-01-26,P059,3.0,4078.32
2022-08-08,P052,7.0,334.82
2022-11-23,P008,,2855.52
2022-02-07,P017,5.0,493.1
2022-02-09,P057,3.0,1220.34
2022-07-17,P099,8.0,4085.46
2022-05-23,P053,9.0,2785.77
2022-07-20,P047,4.0,
2022-05-24,P079,6.0,2806.2
,P054,8.0,7802.64
2022-02-13,P020,10.0,3557.4
2022-08-27,P096,7.0,2564.64
2022-08-02,,6.0,2225.64
,P000,9.0,842.16
2022-04-10,P018,7.0,3175.55
2022-02-19,P090,1.0,8646.0
2022-11-06,P094,10.0,972.58
2022-06-02,P097,7.0,4049.1
2022-07-04,P041,7.0,
2022-05-14,P097,8.0,4049.1
2022-07-21,P006,1.0,4525.62
2022-01-19,P054,4.0,6935.68
2022-03-24,P094,,972.58
2022-11-29,P043,8.0,7621.44
2022-04-02,P005,1.0,2871.06
,P002,7.0,3313.68
2022-01-20,P085,6.0,8995.5
2022-07-19,P061,6.0,4447.87
2022-08-24,P013,4.0,136.88
2022-09-03,P060,10.0,3185.37
2022-12-29,P031,10.0,1966.1
2022-02-03,P092,4.0,646.22
2022-07-13,P007,3.0,697.38
2022-02-10,P098,5.0,2274.12
2022-12-20,P018,4.0,3175.55
2022-05-03,P041,4.0,
2022-10-16,P026,2.0,2291.9
2022-10-03,P052,6.0,3013.38
,P090,10.0,3458.4
2022-02-17,P080,5.0,6063.3
2022-03-14,P033,5.0,4361.9
2022-06-04,P070,1.0,4163.65
2022-09-21,P007,,
2022-05-10,P090,9.0,1729.2
2022-02-24,P057,4.0,1220.34
2022-07-08,P020,2.0,5336.1
2022-02-14,P049,2.0,4469.2
2022-06-24,P014,3.0,7243.68
,P013,,136.88
,P059,8.0,1019.58
2022-02-21,P087,2.0,245.07
2022-12-29,P061,2.0,
2022-05-02,P026,7.0,1833.52
,P011,10.0,6552.7
2022-08-30,P098,9.0,6064.32
2022-07-09,P090,4.0,8646.0
2022-09-15,,7.0,1765.95
2022-06-28,P019,6.0,2709.03
2022-06-04,P047,3.0,3724.92
2022-09-30,P000,2.0,1122.88
2022-05-21,P099,,2042.73
2022-08-10,P082,2.0,294.76
2022-03-20,,6.0,436.19
2022-08-25,P058,9.0,5288.9
2022-12-09,P058,,2115.56
2022-04-09,P092,9.0,1938.66
2022-01-28,P005,8.0,3828.08
2022-02-11,,6.0,3902.24
2022-12-20,P033,9.0,
2022-04-06,P087,,245.07
2022-11-24,P007,6.0,5579.04
2022-01-02,P082,10.0,1179.04
2022-09-25,P036,6.0,7273.35
2022-08-01,P011,,655.27
2022-11-21,P047,1.0,
2022-09-30,P021,6.0,4670.75
2022-03-24,P041,8.0,2286.1
2022-04-09,P027,,54.77
,P092,5.0,4523.54
2022-06-02,P069,5.0,4451.28
2022-11-11,P067,,3659.12
2022-04-28,P028,1.0,698.46
2022-03-09,P096,1.0,320.58
2022-05-16,P043,4.0,952.68
,,7.0,905.46
2022-09-13,,,558.96
2022-03-24,P099,8.0,680.91
,P039,4.0,411.64
2022-10-24,P088,4.0,1868.79
2022-05-23,P062,1.0,553.65
,P026,9.0,2062.71
2022-01-15,P096,6.0,961.74
2022-02-01,P065,6.0,1390.84
2022-12-22,P042,2.0,2695.5
2022-10-25,P021,5.0,3736.6
2022-08-11,P060,5.0,1061.79
2022-05-04,P070,9.0,2498.19
2022-07-01,P004,3.0,1469.88
2022-07-04,P038,6.0,369.57
2022-10-20,P042,5.0,1078.2
2022-12-27,P077,10.0,3674.12
2022-02-06,P040,10.0,2921.4
2022-09-05,P010,3.0,
2022-06-20,P088,10.0,4983.44
2022-11-07,P031,7.0,2752.54
2022-12-12,P036,1.0,4848.9
2022-03-31,P047,10.0,9312.3
2022-11-19,,,1466.01
2022-08-25,,,1738.55
2022-11-22,P068,6.0,2080.33
2022-05-04,,10.0,
2022-10-01,P051,8.0,8920.62
2022-06-05,P049,6.0,8044.56
2022-09-30,P060,8.0,2831.44
2022-03-01,P074,7.0,2187.32
2022-12-10,P030,3.0,309.51
2022-04-04,P040,5.0,973.8
,P085,7.0,899.55
2022-06-08,P077,2.0,5511.18
,P092,6.0,3231.1
2022-03-12,P097,9.0,4049.1
2022-03-04,P021,8.0,3736.6
,P001,5.0,480.6
2022-03-05,P058,5.0,4231.12
2022-06-13,P094,3.0,4376.61
,P031,5.0,1179.66
2022-11-29,P078,10.0,2535.05
2022-09-01,,5.0,1394.76
