project_name,employee_name,position,salary,budget,project_manager
Проект_75,Сотрудник_303,Разработчик,85627,584352,Сотрудник_213
Проект_48,Сотрудник_304,Аналитик,69810,323540,Сотрудник_1602
Проект_37,Сотрудник_305,Аналитик,112952,290345,Сотрудник_954
Проект_52,Сотрудник_306,Менеджер,76879,987200,Сотрудник_560
Проект_80,Сотрудник_307,Тестировщик,79876,297013,Сотрудник_859
Проект_62,Сотрудник_308,Менеджер,117207,809822,Сотрудник_1546
Проект_47,Сотрудник_309,Аналитик,77210,548656,Сотрудник_1883
Проект_99,Сотрудник_310,Менеджер,62746,465399,Сотрудник_1840
Проект_75,Сотрудник_311,Менеджер,85232,584352,Сотрудник_213
Проект_74,Сотрудник_312,Разработчик,99945,796598,Сотрудник_719
Проект_49,Сотрудник_313,Менеджер,117732,260437,Сотрудник_1238
Проект_70,Сотрудник_314,Менеджер,89156,189200,Сотрудник_1192
Проект_86,Сотрудник_315,Разработчик,102146,418678,Сотрудник_1417
Проект_9,Сотрудник_316,Аналитик,96132,969563,Сотрудник_1959
Проект_14,Сотрудник_317,Тестировщик,95185,694452,Сотрудник_145
Проект_67,Сотрудник_318,Разработчик,74320,676269,Сотрудник_670
Проект_9,Сотрудник_319,Разработчик,53830,969563,Сотрудник_1959
Проект_20,Сотрудник_320,Тестировщик,104004,264373,Сотрудник_1566
Проект_85,Сотрудник_321,Менеджер,108138,388154,Сотрудник_826
Проект_39,Сотрудник_322,Разработчик,85922,565795,Сотрудник_843
Проект_88,Сотрудник_323,Менеджер,55421,281410,Сотрудник_1232
Проект_84,Сотрудник_324,Тестировщик,75877,434635,Сотрудник_204
Проект_23,Сотрудник_325,Менеджер,81466,598870,Сотрудник_174
Проект_33,Сотрудник_326,Менеджер,98708,157767,Сотрудник_587
Проект_49,Сотрудник_327,Аналитик,52213,260437,Сотрудник_1238
Проект_88,Сотрудник_328,Аналитик,104356,281410,Сотрудник_1232
Проект_1,Сотрудник_329,Аналитик,106732,468446,Сотрудник_320
Проект_16,Сотрудник_330,Тестировщик,80413,382253,Сотрудник_1327
Проект_61,Сотрудник_331,Разработчик,103970,929971,Сотрудник_1743
Проект_94,Сотрудник_332,Менеджер,77849,264355,Сотрудник_1535
Проект_28,Сотрудник_333,Аналитик,84817,484525,Сотрудник_1698
Проект_95,Сотрудник_334,Аналитик,64858,171383,Сотрудник_922
Проект_47,Сотрудник_335,Разработчик,86016,548656,Сотрудник_1883
Проект_29,Сотрудник_336,Менеджер,52496,626671,Сотрудник_1990
Проект_95,Сотрудник_337,Разработчик,97318,171383,Сотрудник_922
Проект_28,Сотрудник_338,Менеджер,56647,484525,Сотрудник_1698
Проект_81,Сотрудник_339,Аналитик,56184,522430,Сотрудник_501
Проект_73,Сотрудник_340,Менеджер,118213,678024,Сотрудник_1570
Проект_62,Сотрудник_341,Разработчик,68069,809822,Сотрудник_1546
Проект_52,Сотрудник_342,Аналитик,100866,987200,Сотрудник_560
Проект_19,Сотрудник_343,Разработчик,98335,396884,Сотрудник_182
Проект_17,Сотрудник_344,Аналитик,103199,217276,Сотрудник_472
Проект_79,Сотрудник_345,Аналитик,95536,394683,Сотрудник_1357
Проект_50,Сотрудник_346,Разработчик,77172,474629,Сотрудник_616
Проект_92,Сотрудник_347,Разработчик,106256,585814,Сотрудник_1280
Проект_14,Сотрудник_348,Разработчик,98417,694452,Сотрудник_145
Проект_36,Сотрудник_349,Аналитик,54207,893845,Сотрудник_92
Проект_23,Сотрудник_350,Аналитик,86040,598870,Сотрудник_174
Проект_36,Сотрудник_351,Тестировщик,55688,893845,Сотрудник_92
Проект_40,Сотрудник_352,Тестировщик,107213,737713,Сотрудник_177
Проект_28,Сотрудник_353,Разработчик,108185,484525,Сотрудник_1698
Проект_62,Сотрудник_354,Аналитик,86119,809822,Сотрудник_1546
Проект_70,Сотрудник_355,Аналитик,91311,189200,Сотрудник_1192
Проект_7,Сотрудник_356,Менеджер,84321,369831,Сотрудник_1148
Проект_99,Сотрудник_357,Тестировщик,70942,465399,Сотрудник_1840
Проект_6,Сотрудник_358,Тестировщик,64959,216367,Сотрудник_473
Проект_74,Сотрудник_359,Разработчик,60069,796598,Сотрудник_719
Проект_31,Сотрудник_360,Аналитик,106519,558898,Сотрудник_88
Проект_57,Сотрудник_361,Аналитик,97544,709320,Сотрудник_891
Проект_2,Сотрудник_362,Аналитик,105762,123416,Сотрудник_1839
Проект_4,Сотрудник_363,Менеджер,110440,690245,Сотрудник_822
Проект_19,Сотрудник_364,Разработчик,108098,396884,Сотрудник_182
Проект_11,Сотрудник_365,Разработчик,78297,274639,Сотрудник_774
Проект_75,Сотрудник_366,Менеджер,78143,584352,Сотрудник_213
Проект_34,Сотрудник_367,Менеджер,60899,507683,Сотрудник_301
Проект_4,Сотрудник_368,Аналитик,75541,690245,Сотрудник_822
Проект_1,Сотрудник_369,Тестировщик,90112,468446,Сотрудник_320
Проект_52,Сотрудник_370,Разработчик,50304,987200,Сотрудник_560
Проект_27,Сотрудник_371,Разработчик,101529,934999,Сотрудник_1329
Проект_52,Сотрудник_372,Разработчик,113695,987200,Сотрудник_560
Проект_84,Сотрудник_373,Менеджер,104771,434635,Сотрудник_204
Проект_88,Сотрудник_374,Менеджер,105963,281410,Сотрудник_1232
Проект_2,Сотрудник_375,Разработчик,95248,123416,Сотрудник_1839
Проект_54,Сотрудник_376,Разработчик,88082,179402,Сотрудник_1709
Проект_41,Сотрудник_377,Разработчик,74887,939334,Сотрудник_1926
Проект_25,Сотрудник_378,Разработчик,111872,227148,Сотрудник_645
Проект_20,Сотрудник_379,Разработчик,81253,264373,Сотрудник_1566
Проект_49,Сотрудник_380,Менеджер,108082,260437,Сотрудник_1238
